Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
2.000628,-140000.3125,0.0,0.0298226,2,2.0,
1.9998749,-140000.3125,0.0,0.0298226,2,2.0,0.0
2.0002975,-140000.3125,0.0,0.0298228,2,2.0,0.0
2.0009229,-140000.3125,0.0,0.0298229,2,2.0,0.0
2.000366,-140000.3125,0.0,0.0298228,2,2.0,0.0
2.000715,-140000.3125,0.0,0.0298229,2,2.0,0.0
2.0003433,-140000.3125,0.0,0.0298232,2,2.0,0.0
2.0004828,-140000.3125,0.0,0.0298232,2,2.0,0.0
2.0008488,-140000.3125,0.0,0.0298233,2,2.0,0.0
1.9998423,-140000.3125,0.0,0.0298233,2,2.0,0.0
2.0008118,-140000.3125,0.0,0.0298233,2,2.0,0.0
1.9998608,-140000.3125,0.0,0.0298233,2,2.0,0.0
2.0007107,-140000.3125,0.0,0.0298233,2,2.0,0.0
2.0006208,-140000.3125,0.0,0.0298233,2,2.0,0.0
2.0003033,-140000.3125,0.0,0.0298232,2,2.0,0.0
2.0004101,-140001.078125,0.0,0.0298231,2,2.0,0.0
2.0004642,-140000.984375,0.0,0.029823,2,2.0,0.0
2.0001738,-140001.09375,0.0,0.029823,2,2.0,0.0
1.9998608,-140001.03125,0.0,0.0298229,2,2.0,0.0
2.0002933,-140001.078125,0.0,0.0298229,2,2.0,0.0
2.0006466,-140001.046875,0.0,0.029823,2,2.0,0.0
2.0002136,-140001.046875,0.0,0.0298229,2,2.0,0.0
2.0005112,-140001.03125,0.0,0.0298228,2,2.0,0.0
1.9995549,-140001.03125,0.0,0.0298228,2,2.0,0.0
2.0005326,-140001.03125,0.0,0.0298231,2,2.0,0.0
1.9993558,-139980.859375,0.0,0.0298233,2,2.0,0.0
2.0014417,-139826.203125,0.0,0.0298233,2,2.0,0.0
1.9989891,-139553.03125,0.0,0.0298231,2,2.0,0.0
1.9998692,-139325.3125,0.0,0.0298229,2,2.0,0.0
2.0004828,-139087.265625,0.0,0.0298222,2,2.0,0.0
1.9993687,-138872.875,0.0,0.0298219,2,2.0,0.0
2.0003545,-138634.5,0.0,0.0298211,2,2.0,0.0
1.9995434,-138503.125,0.0,0.0298206,2,2.0,0.0
1.9994056,-138251.640625,0.0,0.0298196,2,2.0,0.0
2.0001838,-138012.21875,0.0,0.0298186,2,2.0,0.0
1.9986284,-137785.078125,0.0,0.0298171,2,2.0,0.0
1.9999461,-137533.609375,0.0,0.0298155,2,2.0,0.0
1.9994255,-137234.1875,0.0,0.0298137,2,2.0,0.0
1.9989536,-136935.09375,0.0,0.0298119,2,2.0,0.0
1.999525,-136671.40625,0.0,0.0298102,2,2.0,0.0
1.9987236,-136443.90625,0.0,0.0298084,2,2.0,0.0
1.9995648,-136228.546875,0.0,0.0298071,2,2.0,0.0
1.9981189,-136000.78125,0.0,0.0298053,2,2.0,0.0
1.9996061,-135761.4375,0.0,0.0298028,2,2.0,0.0
1.9982507,-135545.875,0.0,0.0298012,2,2.0,0.0
1.9993687,-135294.671875,0.0,0.0297987,2,2.0,0.0
