Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
7.9927397,140000.3125,0.0,0.0305915,2,7.99,2.0
7.9923086,140000.3125,0.0,0.0305916,2,7.99,0.0
7.9929099,140000.3125,0.0,0.0305917,2,7.99,0.0
7.9926834,140000.3125,0.0,0.0305918,2,7.99,0.0
7.9932733,140000.3125,0.0,0.0305918,2,7.99,0.0
7.9930797,140000.3125,0.0,0.0305918,2,7.99,0.0
7.9930573,140000.3125,0.0,0.0305919,2,7.99,0.0
7.9930687,140000.3125,0.0,0.030592,2,7.99,0.0
7.9930458,140000.3125,0.0,0.0305921,2,7.99,0.0
7.9934549,140000.3125,0.0,0.030592,2,7.99,0.0
7.9930911,140000.3125,0.0,0.030592,2,7.99,0.0
7.9927626,140000.3125,0.0,0.030592,2,7.99,0.0
7.9931936,140000.3125,0.0,0.030592,2,7.99,0.0
7.9938855,140000.3125,0.0,0.0305919,2,7.99,0.0
7.993114,140000.3125,0.0,0.0305919,2,7.99,0.0
7.9929776,140000.3125,0.0,0.0305919,2,7.99,0.0
7.9929209,140000.78125,0.0,0.0305919,2,7.99,0.0
7.9930458,140000.765625,0.0,0.0305919,2,7.99,0.0
7.9931479,140000.78125,0.0,0.0305917,2,7.99,0.0
7.9927282,140000.71875,0.0,0.0305917,2,7.99,0.0
7.9935913,140000.75,0.0,0.0305917,2,7.99,0.0
7.9935679,140000.703125,0.0,0.0305918,2,7.99,0.0
7.9929442,140000.71875,0.0,0.0305918,2,7.99,0.0
7.9934893,140000.703125,0.0,0.0305921,2,7.99,0.0
7.9940314,140000.703125,0.0,0.0305922,2,7.99,0.0
7.9934068,140000.625,0.0,0.0305925,2,7.99,0.0
7.9937816,139996.0,0.0,0.0305925,2,7.99,0.0
7.9939752,139818.078125,0.0,0.0305924,2,7.99,0.0
7.9947009,139542.546875,0.0,0.0305913,2,7.99,0.0
7.9952006,139325.984375,0.0,0.0305896,2,8.0,0.009999999999999787
7.9947462,139040.171875,0.0,0.0305864,2,7.99,-0.009999999999999787
7.9954395,138802.109375,0.0,0.030581,2,8.0,0.009999999999999787
7.9953594,138539.203125,0.0,0.030577,2,8.0,0.0
7.9956207,138395.8125,0.0,0.0305737,2,8.0,0.0
7.9959731,138095.796875,0.0,0.030565,2,8.0,0.0
7.9963818,137892.46875,0.0,0.0305607,2,8.0,0.0
7.9962459,137652.953125,0.0,0.0305505,2,8.0,0.0
7.99687,137425.453125,0.0,0.0305425,2,8.0,0.0
7.9971771,137209.84375,0.0,0.0305371,2,8.0,0.0
7.9968586,136994.21875,0.0,0.0305304,2,8.0,0.0
7.9975405,136778.484375,0.0,0.0305237,2,8.0,0.0
7.9981766,136550.578125,0.0,0.0305167,2,8.0,0.0
7.9976425,136335.21875,0.0,0.0305121,2,8.0,0.0
7.9978132,136107.515625,0.0,0.0305061,2,8.0,0.0
7.997745,135867.9375,0.0,0.0304984,2,8.0,0.0
7.9979606,135616.625,0.0,0.030493,2,8.0,0.0
7.9982224,135352.921875,0.0,0.0304869,2,8.0,0.0
7.9981656,135089.34375,0.0,0.0304802,2,8.0,0.0
7.9986768,134873.1875,0.0,0.0304743,2,8.0,0.0
7.9989152,134645.734375,0.0,0.0304688,2,8.0,0.0
7.9990973,134417.921875,0.0,0.0304647,2,8.0,0.0
7.9993024,134190.296875,0.0,0.030459,2,8.0,0.0
7.9994268,133974.734375,0.0,0.0304549,2,8.0,0.0
7.9993587,133735.359375,0.0,0.0304506,2,8.0,0.0
7.9995737,133435.921875,0.0,0.0304444,2,8.0,0.0
8.0001192,133255.84375,0.0,0.0304403,2,8.0,0.0
7.9993124,133016.453125,0.0,0.0304344,2,8.0,0.0
7.9998922,132716.765625,0.0,0.0304279,2,8.0,0.0
8.0006657,132513.296875,0.0,0.0304242,2,8.0,0.0
8.0002222,132261.59375,0.0,0.0304179,2,8.0,0.0
8.0003242,132046.046875,0.0,0.0304147,2,8.0,0.0
8.0005751,131938.15625,0.0,0.0304113,2,8.0,0.0
8.0005178,131674.8125,0.0,0.0304045,2,8.0,0.0
8.0006313,131494.953125,0.0,0.0304005,2,8.0,0.0
8.0007334,131183.84375,0.0,0.0303935,2,8.0,0.0
8.0007219,130932.3125,0.0,0.0303867,2,8.0,0.0
8.0014734,130716.65625,0.0,0.0303817,2,8.0,0.0
8.0023146,130476.9453125,0.0,0.0303742,2,8.0,0.0
8.0022011,130237.40625,0.0,0.0303681,2,8.0,0.0
8.002223,130045.59375,0.0,0.0303632,2,8.0,0.0
8.0028601,129722.046875,0.0,0.0303534,2,8.0,0.0
8.0022802,129518.59375,0.0,0.0303484,2,8.0,0.0
8.0027237,129278.9609375,0.0,0.030339,2,8.0,0.0
8.0030088,129063.5234375,0.0,0.0303336,2,8.0,0.0
8.0028267,128835.90625,0.0,0.0303261,2,8.0,0.0
8.0028496,128596.3359375,0.0,0.0303183,2,8.0,0.0
8.003088,128356.0234375,0.0,0.0303103,2,8.0,0.0
8.0028267,128188.34375,0.0,0.0303042,2,8.0,0.0
8.0041008,127936.8515625,0.0,0.0302925,2,8.0,0.0
8.0036345,127721.421875,0.0,0.0302865,2,8.0,0.0
8.004056,127421.5625,0.0,0.0302757,2,8.0,0.0
8.0037146,127182.4921875,0.0,0.0302633,2,8.0,0.0
8.0042028,126918.8984375,0.0,0.0302545,2,8.0,0.0
8.0043163,126798.7265625,0.0,0.0302485,2,8.0,0.0
8.0037479,126511.171875,0.0,0.0302374,2,8.0,0.0
